SubsequenceLength,CurrentIndex,Positions,Scores
48,8064,"[21748, 22324, 22126, 21779, 22052, 22876, 21604, 8451, 21915, 21697, 21955, 21528, 25197, 22009, 21813, 20406, 21563, 22810, 14578, 24665, 24831, 22708, 22645, 21867, 14511, 25050, 24711, 24739, 14544, 20497, 20245, 21670, 20319, 15671, 24622, 20560, 22262, 25263, 24435, 11964, 24596, 25441, 21723, 21984, 22784, 20214, 20185, 12428, 25075, 22680, 22465, 25222, 22181, 21629, 20368, 22295, 20132, 20599, 22349, 24803]","[7.4551, 7.4249, 7.2739, 7.266, 7.1337, 7.0055, 6.9866, 6.981, 6.9373, 6.7865, 6.7267, 6.7234, 6.7046, 6.6915, 6.6818, 6.6794, 6.6757, 6.6745, 6.6458, 6.6437, 6.5646, 6.5051, 6.4907, 6.4895, 6.4773, 6.4531, 6.448, 6.3943, 6.3939, 6.3888, 6.3886, 6.3824, 6.378, 6.3506, 6.3478, 6.3135, 6.3108, 6.3033, 6.2969, 6.2739, 6.2672, 6.2663, 6.2542, 6.219, 6.1962, 6.1941, 6.1838, 6.1722, 6.1718, 6.1593, 6.153, 6.1327, 6.1323, 6.1314, 6.1291, 6.1245, 6.1205, 6.1111, 6.1079, 6.1039]"
48,24192,"[25197, 24665, 24831, 25050, 24711, 24739, 24622, 25263, 24435, 24596, 25441, 25075, 25222, 24803, 25153, 24345, 25025, 25103, 25343, 25411, 24906, 24523, 25288, 25381, 24995, 24460, 24764, 24548, 24868, 24931, 24410, 24493, 25466, 24236, 30792, 25128, 26148, 24969, 24195, 24301, 25534, 25313, 24275, 31540, 30820, 31079, 31185, 31348, 30877, 30540, 30924, 30504, 30146, 26986, 31104, 31515, 31211, 30851, 30751, 31379]","[6.7046, 6.6437, 6.5646, 6.4531, 6.448, 6.3943, 6.3478, 6.3033, 6.2969, 6.2672, 6.2663, 6.1718, 6.1327, 6.1039, 6.0783, 6.071, 5.9911, 5.9689, 5.9671, 5.9639, 5.8476, 5.7992, 5.7927, 5.7607, 5.7322, 5.713, 5.6947, 5.6054, 5.4487, 5.3761, 5.3522, 5.2187, 5.1358, 5.0444, 5.0444, 4.9414, 4.9387, 4.7372, 4.7188, 4.6995, 4.6522, 4.4892, 4.4249, 4.3731, 4.3378, 4.2577, 3.9889, 3.9596, 3.8915, 3.7321, 3.6038, 3.5755, 3.4946, 3.3771, 3.0838, 3.0505, 2.9651, 2.7789, 2.7517, 2.7149]"
168,672,"[77671, 1420, 77429, 1773, 77170, 700, 78010, 56033, 789, 78108, 56318, 21669, 77263, 56124, 76980, 81414, 2484, 57044, 948, 83740, 56219, 77881, 1886, 56553, 1505, 56957, 77760, 2578, 75946, 57303, 81505, 83908, 85541, 3552, 81329, 85285, 2147, 5197, 21868, 22006, 77085, 2664, 51155, 81607, 2350, 84118, 1246, 5550, 1128, 1679, 88301, 75618, 1976, 1034, 84487, 85653, 3000, 83592, 11916, 78712]","[15.9145, 15.8897, 15.8784, 15.81, 15.6818, 15.6812, 15.6471, 15.617, 15.581, 15.5495, 15.5454, 15.5437, 15.5189, 15.5107, 15.5094, 15.475, 15.3655, 15.3558, 15.3453, 15.3095, 15.2865, 15.2692, 15.2672, 15.2555, 15.2393, 15.2162, 15.2057, 15.1949, 15.1877, 15.1871, 15.1832, 15.1544, 15.0823, 15.053, 15.0479, 15.0224, 14.994, 14.9634, 14.9591, 14.9526, 14.9435, 14.9184, 14.8869, 14.8565, 14.8513, 14.8461, 14.8331, 14.8035, 14.7478, 14.7473, 14.7135, 14.6848, 14.6356, 14.6175, 14.6108, 14.6095, 14.6035, 14.5919, 14.5852, 14.5738]"
168,4032,"[77671, 77429, 77170, 78010, 56033, 78108, 56318, 21669, 77263, 56124, 76980, 81414, 57044, 83740, 56219, 77881, 56553, 56957, 77760, 75946, 57303, 81505, 83908, 85541, 81329, 85285, 5197, 21868, 22006, 77085, 51155, 81607, 84118, 5550, 88301, 75618, 84487, 85653, 83592, 11916, 78712, 78575, 85456, 56805, 56716, 76506, 4489, 24573, 85132, 4314, 51510, 20103, 85801, 88107, 20509, 76608, 75480, 86021, 20360, 21554]","[15.9145, 15.8784, 15.6818, 15.6471, 15.617, 15.5495, 15.5454, 15.5437, 15.5189, 15.5107, 15.5094, 15.475, 15.3558, 15.3095, 15.2865, 15.2692, 15.2555, 15.2162, 15.2057, 15.1877, 15.1871, 15.1832, 15.1544, 15.0823, 15.0479, 15.0224, 14.9634, 14.9591, 14.9526, 14.9435, 14.8869, 14.8565, 14.8461, 14.8035, 14.7135, 14.6848, 14.6108, 14.6095, 14.5919, 14.5852, 14.5738, 14.5488, 14.5366, 14.5359, 14.5268, 14.5235, 14.5203, 14.5201, 14.5044, 14.479, 14.4723, 14.4113, 14.3967, 14.3918, 14.3704, 14.3413, 14.3313, 14.3223, 14.3124, 14.3115]"
168,8064,"[77671, 77429, 77170, 78010, 56033, 78108, 56318, 21669, 77263, 56124, 76980, 81414, 57044, 83740, 56219, 77881, 56553, 56957, 77760, 75946, 57303, 57388, 81505, 83908, 85541, 81329, 85285, 21868, 22006, 77085, 51155, 81607, 84118, 88301, 75618, 84487, 85653, 83592, 11916, 78712, 78575, 85456, 56805, 56716, 76506, 24573, 85132, 51510, 20103, 85801, 88107, 20509, 76608, 75480, 86021, 20360, 21554, 88407, 88215, 84885]","[15.9145, 15.8784, 15.6818, 15.6471, 15.617, 15.5495, 15.5454, 15.5437, 15.5189, 15.5107, 15.5094, 15.475, 15.3558, 15.3095, 15.2865, 15.2692, 15.2555, 15.2162, 15.2057, 15.1877, 15.1871, 15.1863, 15.1832, 15.1544, 15.0823, 15.0479, 15.0224, 14.9591, 14.9526, 14.9435, 14.8869, 14.8565, 14.8461, 14.7135, 14.6848, 14.6108, 14.6095, 14.5919, 14.5852, 14.5738, 14.5488, 14.5366, 14.5359, 14.5268, 14.5235, 14.5201, 14.5044, 14.4723, 14.4113, 14.3967, 14.3918, 14.3704, 14.3413, 14.3313, 14.3223, 14.3124, 14.3115, 14.308, 14.2936, 14.2774]"
168,24192,"[77671, 77429, 77170, 78010, 56033, 78108, 56318, 77263, 56124, 76980, 81414, 57044, 83740, 56219, 77881, 56553, 56957, 77760, 75946, 57303, 81505, 83908, 85541, 81329, 85285, 77085, 51155, 81607, 84118, 88301, 75618, 84487, 85653, 83592, 78712, 78575, 85456, 56805, 56716, 76506, 24573, 85132, 51510, 85801, 88107, 76608, 75480, 86021, 88407, 88215, 84885, 84339, 76384, 88633, 85888, 76202, 25076, 84589, 83160, 84016]","[15.9145, 15.8784, 15.6818, 15.6471, 15.617, 15.5495, 15.5454, 15.5189, 15.5107, 15.5094, 15.475, 15.3558, 15.3095, 15.2865, 15.2692, 15.2555, 15.2162, 15.2057, 15.1877, 15.1871, 15.1832, 15.1544, 15.0823, 15.0479, 15.0224, 14.9435, 14.8869, 14.8565, 14.8461, 14.7135, 14.6848, 14.6108, 14.6095, 14.5919, 14.5738, 14.5488, 14.5366, 14.5359, 14.5268, 14.5235, 14.5201, 14.5044, 14.4723, 14.3967, 14.3918, 14.3413, 14.3313, 14.3223, 14.308, 14.2936, 14.2774, 14.2482, 14.2082, 14.1921, 14.1726, 14.1583, 14.1338, 14.114, 14.0949, 14.0712]"
672,4032,"[56599, 76908, 77339, 4298, 56041, 21725, 77676, 78013, 4904, 83705, 75753, 88151, 85256, 84080, 81941, 85597, 85934, 86271, 86608, 86945, 25126, 24429, 87727, 22272, 20036, 84717, 36466, 20382, 16509, 5727, 81146, 24766, 50782, 76092, 14254, 7945, 79092, 12364, 7182, 78350, 48096, 11613, 15824, 51794, 22945, 26613, 7519, 6359, 23726, 64007, 51369, 37343, 47555, 50346, 10844, 49635, 65453, 34586, 82737, 41837]","[34.029, 33.5189, 32.9416, 32.8286, 32.7328, 32.5853, 32.5711, 32.5678, 32.2435, 31.6905, 31.5441, 31.4771, 31.3753, 30.8649, 30.4202, 30.0575, 29.9303, 29.9269, 29.9235, 29.9202, 29.8635, 29.852, 29.5417, 29.2484, 29.2026, 28.8847, 28.5475, 28.34, 28.1009, 27.9244, 27.8885, 27.794, 27.7739, 27.736, 27.6699, 27.6064, 27.6032, 27.5672, 27.5126, 27.5013, 27.3947, 27.332, 27.2465, 27.1847, 27.1331, 26.9972, 26.9405, 26.7796, 26.5749, 26.5461, 26.4865, 26.4061, 26.2308, 25.7122, 25.6881, 25.662, 25.5874, 25.455, 25.0784, 24.9707]"
672,8064,"[56599, 76908, 77339, 56041, 21725, 77676, 78013, 83705, 75753, 88151, 85256, 84080, 81941, 85597, 85934, 25126, 24429, 87727, 22272, 20036, 84717, 36466, 20382, 16509, 81146, 24766, 50782, 76092, 14254, 79092, 12364, 78350, 48096, 11613, 15824, 51794, 22945, 26613, 23726, 64007, 51369, 37343, 47555, 50346, 10844, 49635, 65453, 34586, 82737, 41837, 92532, 90804, 30925, 42997, 80224, 40327, 42452, 17894, 83074, 60312]","[34.029, 33.5189, 32.9416, 32.7328, 32.5853, 32.5711, 32.5678, 31.6905, 31.5441, 31.4771, 31.3753, 30.8649, 30.4202, 30.0575, 29.9303, 29.8635, 29.852, 29.5417, 29.2484, 29.2026, 28.8847, 28.5475, 28.34, 28.1009, 27.8885, 27.794, 27.7739, 27.736, 27.6699, 27.6032, 27.5672, 27.5013, 27.3947, 27.332, 27.2465, 27.1847, 27.1331, 26.9972, 26.5749, 26.5461, 26.4865, 26.4061, 26.2308, 25.7122, 25.6881, 25.662, 25.5874, 25.455, 25.0784, 24.9707, 24.8942, 24.8153, 24.7158, 24.597, 24.5144, 24.495, 24.4192, 24.3074, 24.2747, 24.1894]"
672,24192,"[56599, 76908, 77339, 56041, 83705, 75753, 88151, 85256, 84080, 81941, 85597, 25126, 24429, 87727, 84717, 36466, 78329, 81146, 24766, 50782, 76092, 79092, 48096, 51794, 26613, 64007, 51369, 37343, 47555, 50346, 49635, 65453, 34586, 82737, 41837, 92532, 90804, 30925, 42997, 80224, 40327, 42452, 60312, 25788, 48658, 40677, 61126, 90143, 52181, 26269, 91213, 88723, 92188, 43344, 53129, 41014, 43815, 29135, 64665, 81604]","[34.029, 33.5189, 32.9416, 32.7328, 31.6905, 31.5441, 31.4771, 31.3753, 30.8649, 30.4202, 30.0575, 29.8635, 29.852, 29.5417, 28.8847, 28.5475, 28.2353, 27.8885, 27.794, 27.7739, 27.736, 27.6032, 27.3947, 27.1847, 26.9972, 26.5461, 26.4865, 26.4061, 26.2308, 25.7122, 25.662, 25.5874, 25.455, 25.0784, 24.9707, 24.8942, 24.8153, 24.7158, 24.597, 24.5144, 24.495, 24.4192, 24.1894, 23.9906, 23.8529, 23.8413, 23.7681, 23.7311, 23.4123, 23.3931, 23.1695, 23.1123, 23.0644, 22.7176, 22.5865, 22.5817, 22.5702, 22.5382, 22.4464, 22.3266]"
4032,8064,"[8908, 11996, 47666, 34772, 40509, 49776, 60385, 17260, 23500, 32387, 20346, 79209, 87695, 90718, 75545, 81226, 55941, 26215, 14143, 85678, 28232, 83659, 63513, 30370, 73528, 57958, 37326, 71511, 45649, 68954, 43368, 53066, 66937]","[81.8883, 78.3272, 70.684, 70.2248, 68.1652, 65.991, 64.6873, 63.5401, 62.024, 61.9523, 61.8536, 61.6023, 61.2846, 60.9335, 57.2327, 56.8292, 51.6471, 51.1482, 49.7097, 49.3306, 45.0747, 42.51, 36.307, 28.8069, 28.1591, 26.6967, 25.3917, 23.8201, 20.0439, 17.9413, 15.9252, 15.6616, 15.4791]"
4032,24192,"[47666, 34772, 40509, 49776, 60385, 32387, 79209, 87695, 90718, 75545, 81226, 55941, 26215, 85678, 24197, 28232, 83659, 63513, 30370, 73528, 57958, 37326, 71511, 45649, 68954, 43368, 53066, 66937]","[70.684, 70.2248, 68.1652, 65.991, 64.6873, 61.9523, 61.6023, 61.2846, 60.9335, 57.2327, 56.8292, 51.6471, 51.1482, 49.3306, 47.801, 45.0747, 42.51, 36.307, 28.8069, 28.1591, 26.6967, 25.3917, 23.8201, 20.0439, 17.9413, 15.9252, 15.6616, 15.4791]"
8064,24192,"[75471, 59481, 68974, 31258, 45957, 36508, 85342, 24192, 81309, 55448, 41924, 51415, 64941]","[106.2264, 97.4478, 95.7339, 94.5612, 86.4631, 81.9797, 78.3668, 68.3053, 66.1736, 45.7339, 31.6683, 30.6264, 21.3606]"
